,BEARING,mean_ted,std_ted,freq_ted,island
166,210,0.569470276,0.983893969,247724,HAW
167,220,0.423988518,0.759964106,239840,HAW
168,230,0.296614087,0.47788331,201902,HAW
169,240,0.251591709,0.363830016,200238,HAW
170,250,0.157208209,0.223270388,250566,HAW
171,260,0.117412009,0.151444286,346225,HAW
172,270,0.10028,0.131407536,486091,HAW
173,280,0.071303863,0.102315793,712744,HAW
174,290,0.042766577,0.072159897,1046271,HAW
175,300,0.027432313,0.053095429,1476040,HAW
176,310,0.02242957,0.052575075,2045660,HAW
177,320,0.018997199,0.05130393,2332646,HAW
178,330,0.013520852,0.0423345,2401220,HAW
179,340,0.011397918,0.037385541,2373641,HAW
180,350,0.008466776,0.028599682,1753444,HAW
181,0,0.005007474,0.016197817,1311910,HAW
182,10,0.005506743,0.016396052,1028733,HAW
183,20,0.007278631,0.021576404,823235,HAW
184,30,0.011264449,0.033565775,800638,HAW
185,40,0.018463104,0.053515481,765657,HAW
186,50,0.045847732,0.10947991,649179,HAW
187,60,0.150532524,0.306494874,624877,HAW
188,70,0.316155708,0.540588867,585498,HAW
189,80,0.489851093,0.706487565,543441,HAW
190,90,0.633655341,0.85614663,507980,HAW
191,100,0.74837,1.005972244,470532,HAW
192,110,0.845119408,1.154795511,354199,HAW
193,120,0.870290128,1.222282407,252316,HAW
194,130,0.819766466,1.138816214,147274,HAW
195,140,0.566168862,0.854147658,149236,HAW
196,150,0.472260049,0.703509448,179711,HAW
197,160,0.550508682,0.821682077,213103,HAW
198,170,0.75209782,1.187862396,251819,HAW
199,180,0.768789339,1.223765591,263818,HAW
200,190,0.745859501,1.236141338,271121,HAW
201,200,0.717411756,1.175818029,260105,HAW
202,210,0.569470276,0.983893969,247724,HAW
203,220,0.423988518,0.759964106,239840,HAW
204,230,0.296614087,0.47788331,201902,HAW
205,240,0.251591709,0.363830016,200238,HAW
206,250,0.157208209,0.223270388,250566,HAW
207,260,0.117412009,0.151444286,346225,HAW
208,270,0.10028,0.131407536,486091,HAW
209,280,0.071303863,0.102315793,712744,HAW
210,290,0.042766577,0.072159897,1046271,HAW
211,300,0.027432313,0.053095429,1476040,HAW
212,310,0.02242957,0.052575075,2045660,HAW
213,320,0.018997199,0.05130393,2332646,HAW
214,330,0.013520852,0.0423345,2401220,HAW
215,340,0.011397918,0.037385541,2373641,HAW
216,350,0.008466776,0.028599682,1753444,HAW
217,0,0.243328428,0.182051107,7457,HOW
218,10,0.243361888,0.178461886,5716,HOW
219,20,0.263966316,0.181633687,4892,HOW
220,30,0.335427699,0.260287183,3510,HOW
221,40,0.359067925,0.318918962,3423,HOW
222,50,0.362616937,0.326062343,3114,HOW
