"OBS_YEAR","REGION","ISLAND","SECTOR","REEF_ZONE","SITEVISITID","PISCIVORE","PLANKTIVORE","PRIMARY","SECONDARY","PLANK_rel","region","region.col"
2017,"MARIAN","Tinian","Tinian","Forereef",10765,0.0316809008214304,0.536314221326953,0.412747790504777,0.196036958822389,0.455747276382689,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10766,0.200965646603061,0.21086092798071,0.341823957831224,0.216218874285246,0.217411670606372,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10767,0.191117872090194,0.328965047084235,0.165591166760525,0.316895790858795,0.328121814447763,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10768,0.904347200020152,0.145553759852517,0.247964269872849,0.189253004217527,0.0978763870473354,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10769,0.125176979370843,0.57785379793885,1.05960574883665,0.666980390860107,0.23783741127833,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10770,0.14837576418404,0.284865721008199,0.283493478629224,0.319819657187366,0.274819787818757,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10771,0.139358051863233,0.283281434001426,0.269514281873354,0.20511234539679,0.315716184813575,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10793,0.013147944275153,0.0895166584746155,0.0244413601442818,0.112497667701598,0.37360309713204,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10794,0.0651027883152225,0.0599121646909032,0.629011543462079,0.257728817763119,0.0592160612829805,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10795,0.901966125079081,0.288887052275623,1.0956734334018,1.69303691107428,0.072592647583301,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10796,0.0703180052761367,0.182342072274923,0.533302936822727,0.434415401046182,0.149414370142046,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10822,0.0897663260328362,0.472294104905507,1.30988382998763,0.355963804757459,0.211989943472208,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10823,0.0951593752812298,0.135072360057042,0.590426596509299,0.554388493662297,0.0982310984260172,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10824,0.0925900359187238,0.258807325830377,0.44824413661678,0.256766351516362,0.244988075258269,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10825,0.172417687502534,0.168124704609804,0.30531835839263,0.340953523044332,0.170371172282608,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10826,0.0749028579227725,0.799564271033103,0.583468392164997,0.367459047879954,0.438022707315692,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10827,0.0436105435451817,0.160135800129205,0.660383112614988,0.52824256403988,0.115009349362922,"Mariana","#01A74F"
2017,"MARIAN","Tinian","Tinian","Forereef",10828,0,0.10006988228255,0.144924520847108,0.493974787962339,0.1354182061835,"Mariana","#01A74F"
