"island","island_messie","lon","lat","type","chl_island","cv_chl","chl_ime","chl_no_ime","months_ime","cv_ime","median_ime_percent","median_chl_percent","max_ime_percent","total_ime_chl_tCm","total_increase_chl_tCm","lat_neg","ime_diff"
"Gardner Pinnacles","Gardner Pinnacles",192,25,"Island",0.0995721779763699,11.2736477846107,0.0972956344485283,0.104125265032053,8,81.5233822156167,23.9706985652447,27.7488633990288,72.262442111969,4.74457195340872,0.261381656705779,-25,-6.55905229285355
"Gawa","Gawa",151.98,-8.97,"Island",0.15967352129519,12.7306698193766,0.141373300924897,0.168823631480336,4,22.2968988043489,13.4074825793505,16.3683637976646,22.4342167377472,0.210691145355587,0.0109083836493664,-8.97,-16.259767850472
"Guam","Guam",144.78,13.46,"Island",0.0558010988558332,5.47838148760712,0.0558010988558332, ,12,14.1087687574779,33.6578458547592,33.6578458547592,40.6158268451691,2.15901492121749,0.17879797003979,-13.46, 
"Guguan","Guguan",145.84,17.31,"Island",0.0553227262571454,10.7325089231795,0.0567382641136646,0.0543116277882031,5,162.24286868926,3.67652624845505,4.60213162004948,44.6354925632477,0.123494959708392,0.00347187838058699,-17.31,4.46798673559295
"Hale (Sikaiana)","Hale (Sikaiana)",162.92,-8.38,"Island",0.148510512585441,26.1499133901261,0.144615589827299,0.167985126376152,10,60.5595945122404,32.563579082489,37.8468081355095,102.09755897522,1.1905637821754,0.0949033989499876,-8.38,-13.9116700704346
"Han (Carteret/Tulun)","Han (Carteret/Tulun)",155.47,-4.78,"Island",0.135030712311467,24.7486620968555,0.123260172456503,0.193883411586285,10,27.5617437950412,29.0382385253906,29.8141568899155,53.6890983581543,1.85609499697459,0.13362283809466,-4.78,-36.4256222602891
"Haorangi (Bow Harp)","Haorangi (Bow Harp)",219.18,-18.22,"Island",0.055112164778014,13.5453262511098,0.0563652403652668,0.0488467868417501,10,52.1057113605118,9.22906324267387,12.2636999934912,25.1778453588486,0.276661236702812,0.0199046054483809,-18.22,15.3919101124795
"Haraiki (Croker  San Quentin","Haraiki (Croker  San Quentin",216.56,-17.46,"Island",0.0562835891420643,13.336884096327,0.0549782863394781,0.0706419199705124,11,44.0384658254694,6.76582679152489,6.76582679152489,14.4483134150505,0.0928337705663803,0.00378820298005635,-17.46,-22.1732841315365
"Hawaii","Hawai’i",204.42,19.9,"Island",0.115528880928953,19.5449316012318,0.133969901502132,0.102356723376683,5,26.7338372334051,95.5557644367218,86.4937514066696,115.883266925812,0.672277780891007,0.101197152030162,-19.9,30.8852971085348
"Helen","Helen",131.81,2.98,"Island",0.172139411171277,26.9455273099094,0.172139411171277, ,12,45.6631828658013,20.3759826719761,20.3759826719761,47.3475933074951,16.7254833916979,1.17868947599925,-2.98, 
