"island","REGION","mean","sd","median","n_cells","na_cells","time"
"Sarigan","MARIAN",16.845826625824,0.709982758062632,16.80934715271,4,0,1993-04-01
"Guguan","MARIAN",14.090665102005,0.580544257341904,14.0177869796753,4,0,1993-04-01
"Pagan","MARIAN",14.3051879405975,0.171435003440856,14.3392095565796,4,0,1993-04-01
"Agrihan","MARIAN",15.98335536321,0.923030661221852,15.9625821113586,6,0,1993-04-01
"Asuncion","MARIAN",16.8713092803955,1.62349285912345,16.7547960281372,4,0,1993-04-01
"Farallon de Pajaros","MARIAN",17.0896525382996,0.50698595432342,17.0842342376709,4,0,1993-04-01
"Tau","SAMOA",17.4921871821086,0.545746940165526,17.7432813644409,6,0,1993-04-01
"Alamagan","MARIAN",13.8270227909088,0.330411791469856,13.7224841117859,4,0,1993-04-01
"Swains","SAMOA",17.1447710990906,0.93015659802652,17.026967048645,4,0,1993-04-01
"Howland","PRIAs",12.5501024723053,0.104847491224555,12.5744690895081,4,0,1993-04-01
"Laysan","NWHI",15.5353691577911,1.53416932358889,15.1509218215942,4,0,1993-04-01
"Nihoa","NWHI",17.8106587727865,1.13516704386979,18.2009716033936,3,1,1993-04-01
"Maug","MARIAN",17.1843631267548,1.03698206832244,17.2174406051636,4,0,1993-04-01
"Necker","NWHI",25.5535186131795,1.80702965224025,25.6972961425781,6,0,1993-04-01
"Ofu & Olosega","SAMOA",17.0373558998108,0.742868396017427,17.0363235473633,6,0,1993-04-01
"Baker","PRIAs",12.2508470535278,0.232773659257291,12.2542543411255,5,0,1993-04-01
"Hawaii","MHI",21.3535030682882,2.10470458724642,21.3006610870361,24,1,1993-05-01
"Maui","MHI",19.5119340419769,1.68672166609308,19.6678123474121,16,1,1993-05-01
"Oahu","MHI",21.0461087908064,2.46849203494278,21.6237201690674,14,1,1993-05-01
"Kauai","MHI",25.3019975026449,3.15423333808937,24.434947013855,12,0,1993-05-01
"Molokai","MHI",19.5756471807306,2.68217604222619,20.5340251922607,11,1,1993-05-01
"Guam","MARIAN",19.7783868789673,0.92648672300135,19.5364933013916,10,1,1993-05-01
"Lanai","MHI",20.7150282178606,2.35553645830703,20.9721622467041,7,1,1993-05-01
"Niihau","MHI",25.9810416698456,3.42399315406563,25.2104682922363,8,0,1993-05-01
"Tutuila","SAMOA",38.7970962524414,1.15993740786466,38.3675727844238,6,0,1993-05-01
"Saipan","MARIAN",17.2330268859863,1.09858212259066,16.87184715271,5,0,1993-05-01
"Tinian","MARIAN",18.1371413639614,1.3879859244992,18.5359325408936,7,0,1993-05-01
"Jarvis","PRIAs",13.3116829395294,0.391280389603078,13.2920532226562,4,0,1993-05-01
"Rota","MARIAN",19.5017395019531,0.676525756794314,19.3710708618164,5,0,1993-05-01
"Aguijan","MARIAN",18.6745742162069,1.43864974546701,19.0220232009888,6,0,1993-05-01
"Sarigan","MARIAN",17.3646144866943,0.730296293424925,17.3090629577637,4,0,1993-05-01
"Guguan","MARIAN",14.0293033123016,0.541148920485051,14.0042963027954,4,0,1993-05-01
"Pagan","MARIAN",14.0523455142975,0.372695562059552,14.0358228683472,4,0,1993-05-01
"Agrihan","MARIAN",12.6942598025004,0.516028561580284,12.6851687431335,6,0,1993-05-01
"Asuncion","MARIAN",11.7666747570038,0.0863525961113296,11.7561984062195,4,0,1993-05-01
"Farallon de Pajaros","MARIAN",12.3772420883179,0.221069665889774,12.4058175086975,4,0,1993-05-01
"Tau","SAMOA",39.2758700052897,1.21890093048292,39.0101470947266,6,0,1993-05-01
"Alamagan","MARIAN",14.1735169887543,0.695439274957607,14.2029461860657,4,0,1993-05-01
"Swains","SAMOA",31.7329397201538,0.835481925282632,31.8678741455078,4,0,1993-05-01
"Howland","PRIAs",18.4424495697021,1.11619044331335,18.5254497528076,4,0,1993-05-01
"Laysan","NWHI",14.9912250041962,1.60382298741971,15.1380081176758,4,0,1993-05-01
"Nihoa","NWHI",25.3286310831706,0.482468092482955,25.5209922790527,3,1,1993-05-01
"Maug","MARIAN",11.8682973384857,0.131596708241959,11.8652496337891,4,0,1993-05-01
"Necker","NWHI",22.0003903706868,1.98612629534186,21.9970359802246,6,0,1993-05-01
"Ofu & Olosega","SAMOA",39.5711078643799,1.11971058262906,39.5969829559326,6,0,1993-05-01
"Baker","PRIAs",15.8671405792236,0.628211457466417,16.173921585083,5,0,1993-05-01
"Hawaii","MHI",21.4576624234517,1.93262105988975,20.9045095443726,24,1,1993-06-01
"Maui","MHI",17.5444564819336,2.53102592763273,17.5535688400269,16,1,1993-06-01
"Oahu","MHI",17.4904673440116,1.86230427611228,17.0764226913452,14,1,1993-06-01
"Kauai","MHI",20.2635060946147,3.36287478302015,19.3291664123535,12,0,1993-06-01
"Molokai","MHI",16.7896322770552,2.61441980178595,16.6641063690186,11,1,1993-06-01
"Guam","MARIAN",18.3664335250854,0.868336347352449,18.6029405593872,10,1,1993-06-01
"Lanai","MHI",16.9316808155605,2.76198530946595,18.4911632537842,7,1,1993-06-01
"Niihau","MHI",18.5790438652039,2.27011154187419,18.617977142334,8,0,1993-06-01
"Tutuila","SAMOA",35.1878560384115,2.13985670638452,34.3797454833984,6,0,1993-06-01
"Saipan","MARIAN",16.2582210540771,0.285394625418403,16.4056701660156,5,0,1993-06-01
"Tinian","MARIAN",16.5832018171038,0.359604240186485,16.4780693054199,7,0,1993-06-01
"Jarvis","PRIAs",15.845050573349,0.614974790735729,15.8367438316345,4,0,1993-06-01
"Rota","MARIAN",18.1175266265869,0.298823206472741,18.2689075469971,5,0,1993-06-01
"Aguijan","MARIAN",16.8730379740397,0.487242632898926,16.6735534667969,6,0,1993-06-01
"Sarigan","MARIAN",15.9161064624786,0.215622041827597,15.916811466217,4,0,1993-06-01
"Guguan","MARIAN",15.4929563999176,0.308293368890306,15.4380049705505,4,0,1993-06-01
"Pagan","MARIAN",13.2581114768982,0.540790964701504,13.2154717445374,4,0,1993-06-01
"Agrihan","MARIAN",12.4046994845072,0.269593666076022,12.4581651687622,6,0,1993-06-01
"Asuncion","MARIAN",11.3342323303223,0.172725039777235,11.3201451301575,4,0,1993-06-01
"Farallon de Pajaros","MARIAN",10.6624989509583,0.0386912220734972,10.6755318641663,4,0,1993-06-01
"Tau","SAMOA",38.7294616699219,3.58482570284661,38.132905960083,6,0,1993-06-01
"Alamagan","MARIAN",14.9356925487518,0.437770454839695,14.8853507041931,4,0,1993-06-01
"Swains","SAMOA",40.5237293243408,0.720328414742866,40.5782718658447,4,0,1993-06-01
"Howland","PRIAs",14.513828754425,0.306315628990571,14.4930882453918,4,0,1993-06-01
"Laysan","NWHI",12.7754442691803,1.58114827094084,12.0973234176636,4,0,1993-06-01
"Nihoa","NWHI",18.9320252736409,0.270428277252863,18.8645534515381,3,1,1993-06-01
"Maug","MARIAN",11.0285465717316,0.20104519036283,11.0289921760559,4,0,1993-06-01
"Necker","NWHI",19.0968033472697,0.712899148025841,18.9529418945312,6,0,1993-06-01
"Ofu & Olosega","SAMOA",37.4161771138509,1.96201132636572,37.9467945098877,6,0,1993-06-01
"Baker","PRIAs",15.4629016876221,0.529761608590135,15.4936742782593,5,0,1993-06-01
"Hawaii","MHI",22.1676197846731,1.41454288879852,21.9891977310181,24,1,1993-07-01
"Maui","MHI",20.2368026971817,1.4458464143626,20.8451519012451,16,1,1993-07-01
"Oahu","MHI",18.2860337666103,1.51683437385384,18.1019611358643,14,1,1993-07-01
"Kauai","MHI",22.5095806121826,2.29320903572382,22.3182830810547,12,0,1993-07-01
"Molokai","MHI",19.530853618275,1.59473090321394,19.6709537506104,11,1,1993-07-01
"Guam","MARIAN",18.3617168426514,0.95088598473717,18.3039073944092,10,1,1993-07-01
"Lanai","MHI",19.4833055223737,1.26501531117339,19.6709537506104,7,1,1993-07-01
"Niihau","MHI",22.9527568817139,1.87547931261024,23.4981422424316,8,0,1993-07-01
"Tutuila","SAMOA",55.2787640889486,2.74748685757875,55.4935741424561,6,0,1993-07-01
"Saipan","MARIAN",24.2802852630615,1.1463399972365,24.500581741333,5,0,1993-07-01
"Tinian","MARIAN",23.7466021946498,1.11399151811767,23.6874408721924,7,0,1993-07-01
"Jarvis","PRIAs",23.5409989356995,1.05725976612397,23.4644737243652,4,0,1993-07-01
"Rota","MARIAN",20.7654483795166,0.829343168724657,20.8164882659912,5,0,1993-07-01
"Aguijan","MARIAN",23.2252006530762,1.07007460706857,23.0562829971313,6,0,1993-07-01
"Sarigan","MARIAN",25.3788199424744,0.372009487941471,25.3933000564575,4,0,1993-07-01
"Guguan","MARIAN",23.4344849586487,1.07434188762563,23.5688962936401,4,0,1993-07-01
"Pagan","MARIAN",22.165735244751,0.341819506113106,22.1715106964111,4,0,1993-07-01
"Agrihan","MARIAN",24.7109804153442,1.49000630786092,24.9148788452148,6,0,1993-07-01
"Asuncion","MARIAN",23.1686654090881,0.945945855713473,23.2318544387817,4,0,1993-07-01
"Farallon de Pajaros","MARIAN",20.809561252594,0.624631199099951,20.6626539230347,4,0,1993-07-01
"Tau","SAMOA",51.6744581858317,3.39887111378441,51.6701526641846,6,0,1993-07-01
"Alamagan","MARIAN",21.6268100738525,1.1408575624129,21.6035203933716,4,0,1993-07-01
"Swains","SAMOA",46.3349580764771,2.47119618203344,46.1834506988525,4,0,1993-07-01
"Howland","PRIAs",18.0997352600098,0.587154583168453,18.0388231277466,4,0,1993-07-01
"Laysan","NWHI",17.2309989929199,1.32246931792667,16.879861831665,4,0,1993-07-01
"Nihoa","NWHI",20.3233051300049,0.91247669963665,20.8415222167969,3,1,1993-07-01
"Maug","MARIAN",22.0487966537476,0.513185289465551,22.1123113632202,4,0,1993-07-01
"Necker","NWHI",22.8455934524536,1.01132470173671,22.9366865158081,6,0,1993-07-01
"Ofu & Olosega","SAMOA",49.7665322621663,4.22651089277116,48.1794624328613,6,0,1993-07-01
"Baker","PRIAs",17.9774402618408,0.401391482975215,18.0948009490967,5,0,1993-07-01
"Hawaii","MHI",22.7059899171193,2.44943698022687,23.1468725204468,24,1,1993-08-01
"Maui","MHI",17.2364738583565,2.30177762645265,17.0256614685059,16,1,1993-08-01
"Oahu","MHI",16.8141683169774,1.34035818562635,17.0810050964355,14,1,1993-08-01
"Kauai","MHI",20.5263277689616,2.31969035833751,20.9678678512573,12,0,1993-08-01
"Molokai","MHI",17.6067076596347,1.36763888454843,17.6977157592773,11,1,1993-08-01
"Guam","MARIAN",19.6044582366943,0.614440719989038,19.4985084533691,10,1,1993-08-01
"Lanai","MHI",16.7294060843331,1.23984637158925,16.7874069213867,7,1,1993-08-01
"Niihau","MHI",22.2912428379059,0.905682849442789,22.6246948242188,8,0,1993-08-01
"Tutuila","SAMOA",24.7738971710205,1.62449780734167,24.6249523162842,6,0,1993-08-01
"Saipan","MARIAN",20.3371383666992,0.69222771432721,20.3585186004639,5,0,1993-08-01
"Tinian","MARIAN",20.6113065992083,0.3434632417768,20.5973567962646,7,0,1993-08-01
"Jarvis","PRIAs",19.5003161430359,0.956879303064396,19.517783164978,4,0,1993-08-01
"Rota","MARIAN",18.7271530151367,0.71043110736184,18.8642044067383,5,0,1993-08-01
"Aguijan","MARIAN",20.6514625549316,0.289666622224895,20.5544166564941,6,0,1993-08-01
"Sarigan","MARIAN",18.3016362190247,0.871647885255703,18.4014415740967,4,0,1993-08-01
"Guguan","MARIAN",17.6915192604065,0.382101158615711,17.8110513687134,4,0,1993-08-01
"Pagan","MARIAN",17.8892812728882,0.409331046639006,17.890965461731,4,0,1993-08-01
"Agrihan","MARIAN",18.8411032358805,1.02746188306634,18.7141361236572,6,0,1993-08-01
"Asuncion","MARIAN",23.5255184173584,0.569793988107943,23.4910545349121,4,0,1993-08-01
"Farallon de Pajaros","MARIAN",26.2741794586182,0.861856207718459,26.226881980896,4,0,1993-08-01
"Tau","SAMOA",23.7042369842529,2.14408590825507,23.3147850036621,6,0,1993-08-01
"Alamagan","MARIAN",17.9586267471313,0.3132638989074,17.870325088501,4,0,1993-08-01
"Swains","SAMOA",22.4598240852356,1.99885143322999,22.2752571105957,4,0,1993-08-01
"Howland","PRIAs",15.8324191570282,0.289708679771172,15.7980036735535,4,0,1993-08-01
"Laysan","NWHI",19.7730889320374,0.719547003439678,19.616063117981,4,0,1993-08-01
"Nihoa","NWHI",21.5287005106608,0.592321673805172,21.2648792266846,3,1,1993-08-01
"Maug","MARIAN",24.6337752342224,0.387340176729787,24.6303815841675,4,0,1993-08-01
"Necker","NWHI",20.0851828257243,1.6662983920078,19.5107765197754,6,0,1993-08-01
"Ofu & Olosega","SAMOA",22.9356838862101,1.94101764176789,21.9504776000977,6,0,1993-08-01
"Baker","PRIAs",16.7188339233398,0.376736471367034,16.6861228942871,5,0,1993-08-01
"Hawaii","MHI",23.9801326592763,1.36027236684187,23.9564542770386,24,1,1993-09-01
"Maui","MHI",18.2039334177971,2.42015076851562,18.0446643829346,16,1,1993-09-01
"Oahu","MHI",16.7597886494228,1.23235607205022,17.0997228622437,14,1,1993-09-01
"Kauai","MHI",21.2426075935364,2.69739882856369,22.271092414856,12,0,1993-09-01
"Molokai","MHI",16.3781993172385,1.54892231588468,16.4808158874512,11,1,1993-09-01
"Guam","MARIAN",15.4270565032959,0.375479741907697,15.5281128883362,10,1,1993-09-01
"Lanai","MHI",17.4670584542411,2.16609895647779,17.4070072174072,7,1,1993-09-01
"Niihau","MHI",20.5092225074768,1.57645581589953,20.525824546814,8,0,1993-09-01
"Tutuila","SAMOA",31.1865348815918,1.01390343086002,30.8327980041504,6,0,1993-09-01
"Saipan","MARIAN",17.9323692321777,0.523245045244009,17.8914203643799,5,0,1993-09-01
"Tinian","MARIAN",17.5630716596331,0.53477172597094,17.7544860839844,7,0,1993-09-01
"Jarvis","PRIAs",19.728488445282,0.88323281234699,19.6420049667358,4,0,1993-09-01
"Rota","MARIAN",15.8505220413208,0.445448171523586,15.6227874755859,5,0,1993-09-01
"Aguijan","MARIAN",17.266611735026,0.473638951221954,17.1979894638062,6,0,1993-09-01
"Sarigan","MARIAN",21.636531829834,0.0889100306606308,21.6070985794067,4,0,1993-09-01
"Guguan","MARIAN",21.7739844322205,0.511201294924641,21.8072185516357,4,0,1993-09-01
"Pagan","MARIAN",20.2867603302002,0.983464581117023,20.3167486190796,4,0,1993-09-01
"Agrihan","MARIAN",18.8714370727539,0.587900502410386,18.8212423324585,6,0,1993-09-01
"Asuncion","MARIAN",22.4569540023804,0.756373971792005,22.5816316604614,4,0,1993-09-01
"Farallon de Pajaros","MARIAN",24.296226978302,0.762286716072273,24.2909269332886,4,0,1993-09-01
"Tau","SAMOA",23.0166323979696,2.37299626299908,22.4245510101318,6,0,1993-09-01
"Alamagan","MARIAN",21.5502104759216,0.85945320837682,21.6567487716675,4,0,1993-09-01
"Swains","SAMOA",29.3776483535767,0.689843422738197,29.31236743927,4,0,1993-09-01
"Howland","PRIAs",22.9855489730835,0.04274415558215,22.9997224807739,4,0,1993-09-01
"Laysan","NWHI",20.1592888832092,0.818041601486664,20.3745746612549,4,0,1993-09-01
"Nihoa","NWHI",19.1304550170898,0.554921711737757,18.848611831665,3,1,1993-09-01
"Maug","MARIAN",23.1090669631958,0.284014383430206,23.1028394699097,4,0,1993-09-01
"Necker","NWHI",21.2177410125732,1.12958189095836,21.1427783966064,6,0,1993-09-01
"Ofu & Olosega","SAMOA",26.1505200068156,3.57832371656378,25.8451776504517,6,0,1993-09-01
"Baker","PRIAs",21.9532360076904,0.483104226020098,22.0042457580566,5,0,1993-09-01
"Hawaii","MHI",28.0421952406565,2.34324918351662,28.0801610946655,24,1,1993-10-01
"Maui","MHI",23.7101372480392,1.11886075378262,24.0199670791626,16,1,1993-10-01
"Oahu","MHI",22.5971021652222,2.43197284036692,22.2987108230591,14,1,1993-10-01
"Kauai","MHI",31.0777285893758,2.48835468640611,31.4779939651489,12,0,1993-10-01
"Molokai","MHI",23.6332990472967,1.71792829915675,23.8322772979736,11,1,1993-10-01
"Guam","MARIAN",18.3945503234863,1.11785204171753,18.078706741333,10,1,1993-10-01
"Lanai","MHI",24.1261087145124,1.85359188575722,24.3377380371094,7,1,1993-10-01
"Niihau","MHI",35.1250529289246,0.790354523674464,34.9483165740967,8,0,1993-10-01
"Tutuila","SAMOA",28.928071975708,0.693666913660584,29.0865573883057,6,0,1993-10-01
"Saipan","MARIAN",25.6329414367676,0.795846215570796,25.9985904693604,5,0,1993-10-01
"Tinian","MARIAN",24.9358629499163,0.985782063433221,25.1884250640869,7,0,1993-10-01
"Jarvis","PRIAs",16.3452715873718,0.55777185397658,16.3229818344116,4,0,1993-10-01
"Rota","MARIAN",21.5813842773438,1.14221052379096,21.4022216796875,5,0,1993-10-01
"Aguijan","MARIAN",24.3894367218018,0.705622892717335,24.1567831039429,6,0,1993-10-01
"Sarigan","MARIAN",28.4962773323059,0.702240236607406,28.7306518554688,4,0,1993-10-01
"Guguan","MARIAN",28.808602809906,0.382796515431969,28.8244409561157,4,0,1993-10-01
"Pagan","MARIAN",29.9512639045715,0.647379479889371,29.9405279159546,4,0,1993-10-01
"Agrihan","MARIAN",32.1837056477865,0.767633982320846,32.2296695709229,6,0,1993-10-01
"Asuncion","MARIAN",34.1176567077637,0.672413515541644,34.1643600463867,4,0,1993-10-01
"Farallon de Pajaros","MARIAN",37.9058570861816,0.241988585249564,37.9800319671631,4,0,1993-10-01
"Tau","SAMOA",24.8709150950114,2.17811117516968,24.4268922805786,6,0,1993-10-01
"Alamagan","MARIAN",28.7141499519348,0.287879483077725,28.6634578704834,4,0,1993-10-01
"Swains","SAMOA",23.0380096435547,0.654876255162302,23.1305322647095,4,0,1993-10-01
"Howland","PRIAs",20.4260416030884,0.285617426655858,20.4222230911255,4,0,1993-10-01
"Laysan","NWHI",34.7241778373718,5.33559308184843,34.1607437133789,4,0,1993-10-01
"Nihoa","NWHI",34.9055519104004,2.36889022912864,36.1153373718262,3,1,1993-10-01
"Maug","MARIAN",35.7836313247681,0.940420173101067,35.7107925415039,4,0,1993-10-01
