species,trophic_guild,genus,subfamily,family,order,class,superclass,diet,position
plectranthias_sagamiensis,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_vexillarius,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_winniensis,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
plectranthias_yamakawai,planktivores,plectranthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pronotogrammus_eos,planktivores,pronotogrammus,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pronotogrammus_martinicensis,planktivores,pronotogrammus,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pronotogrammus_multifasciatus,planktivores,pronotogrammus,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_bimaculatus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_calloura,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_caudalis,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_charleneae,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_cichlops,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_connelli,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_conspicuus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BnthDw
pseudanthias_cooperi,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,PelgDw
pseudanthias_elongatus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_engelhardi,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_fasciatus,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
pseudanthias_flavicauda,planktivores,pseudanthias,NA,anthiadidae,perciformes/serranoidei,teleostei,osteichthyes,Plktiv,BtPlDw
